"","Isocode","Country","Year","PopMale","PopFemale","PopTotal","GrowthRate","PopDensity","GDP","CO2","TFR","LEx","LExMale","LExFemale","CO2.norm","GDP.norm","PopTotal.norm","TFR.norm","Tech"
"99965","COL","Colombia",1991,16834.622,17122.664,33957.286,1.8986,29.815,4840.18683614944,0.458723350270101,3.057,68.444,64.464,72.638,0.977147068480979,1.00299315626675,1.01952580995054,0.98485824742268,0.947738931985182
"100029","COL","Colombia",1992,17144.24,17463.931,34608.171,1.8672,30.387,4950.21092768264,0.488930778803653,3.012,68.632,64.589,72.894,1.04149325931807,1.02579256764651,1.03906783273793,0.970360824742268,0.987696859682174
"100045","COL","Colombia",1993,17453.463,17806.993,35260.456,1.8405,30.96,5131.0170342771,0.495143908518937,2.966,68.86,64.791,73.144,1.05472812404385,1.06325956916205,1.058651888806,0.955541237113402,0.965001490369631
"100100","COL","Colombia",1994,17764.394,18151.04,35915.434,1.8168,31.535,5292.59837832566,0.513066332429673,2.92,69.128,65.073,73.389,1.09290547859565,1.09674277709334,1.07831679889186,0.940721649484536,0.969403487199769
"100206","COL","Colombia",1995,18078.486,18495.409,36573.895,1.7945,32.113,5469.75510267011,0.444497366222548,2.872,69.433,65.424,73.63,0.946843665351099,1.13345354635064,1.09808628177532,0.925257731958763,0.812645827608557
"100280","COL","Colombia",1996,18396.246,18839.878,37236.124,1.7708,32.694,5497.02751634947,0.443279219931699,2.823,69.761,65.822,73.869,0.944248837604957,1.13910499023107,1.11796889423139,0.909471649484536,0.80639803714513
"100340","COL","Colombia",1997,18717.014,19184.344,37901.358,1.7437,33.279,5606.69521618265,0.467028120733827,2.775,70.096,66.234,74.107,0.994837430456795,1.16183054941293,1.13794172812208,0.894007731958763,0.832982894068934
"100354","COL","Colombia",1998,19039.644,19528.412,38568.056,1.7122,33.864,5562.83567984474,0.46650004864129,2.727,70.423,66.632,74.344,0.993712560539305,1.15274188893904,1.15795851681486,0.87854381443299,0.838601165825395
"100475","COL","Colombia",1999,19362.444,19871.671,39234.115,1.6779,34.449,5269.3784863384,0.39279591243488,2.682,70.734,67.002,74.582,0.836712092639403,1.09193110482926,1.17795612031738,0.864046391752577,0.745431199245334
"100498","COL","Colombia",2000,19684.156,20213.828,39897.984,1.6423,35.032,5375.20543065866,0.395909728170727,2.64,71.026,67.336,74.821,0.843344970421363,1.1138607750042,1.1978879717594,0.850515463917526,0.736548087841572
"100582","COL","Colombia",2001,20004.217,20554.431,40558.648,1.6085,35.612,5409.49440489004,0.378365669388191,2.603,71.3,67.634,75.063,0.805973588305063,1.12096620453692,1.21772359701241,0.838595360824742,0.699447380971793
"100647","COL","Colombia",2002,20322.864,20893.44,41216.304,1.5785,36.189,5476.33936208087,0.368276592680411,2.57,71.562,67.909,75.306,0.784482396014805,1.13481794969945,1.23746891075947,0.827963917525773,0.67248679881021
"100691","COL","Colombia",2003,20640.581,21231.47,41872.051,1.5535,36.765,5613.90294276438,0.373972605258816,2.542,71.817,68.171,75.551,0.796615726462757,1.16332414887065,1.25715690912594,0.818943298969072,0.666154383272372
"100773","COL","Colombia",2004,20958.182,21569.441,42527.623,1.5317,37.341,5830.76357033451,0.353135184630469,2.518,72.066,68.423,75.794,0.752229007387513,1.20826244003166,1.27683965333232,0.811211340206185,0.605641405916601
"100821","COL","Colombia",2005,21276.129,21907.897,43184.026,1.5107,37.917,6021.95630218528,0.384864533010424,2.496,72.309,68.665,76.036,0.819817107570398,1.24788177871959,1.29654734729317,0.804123711340206,0.639102168294981
"100904","COL","Colombia",2006,21594.424,22246.946,43841.37,1.4875,38.494,6339.93606494164,0.391502364091268,2.475,72.545,68.899,76.272,0.833956647617574,1.31377417847035,1.31628329362339,0.79735824742268,0.617517842579178
"100959","COL","Colombia",2007,21912.402,22585.988,44498.39,1.4605,39.071,6689.75319949104,0.388778110848505,2.454,72.775,69.125,76.501,0.828153594277476,1.38626398181377,1.33600951225152,0.790592783505155,0.581154639423893
"101007","COL","Colombia",2008,22229.055,22923.982,45153.037,1.4282,39.646,6839.71091190973,0.401257616403521,2.43,72.997,69.345,76.722,0.85473674567362,1.41733851764823,1.35566448446887,0.782860824742268,0.58665873685513
"101081","COL","Colombia",2009,22543.046,23259.515,45802.561,1.3924,40.216,6853.82281123033,0.421832307586469,2.405,73.213,69.561,76.935,0.898563813038908,1.42026281353176,1.37516564490266,0.774806701030928,0.615470109462526
"101128","COL","Colombia",2010,22853.321,23591.477,46444.798,1.3558,40.78,7062.50470688533,0.444355469045209,2.376,73.424,69.775,77.14,0.946541403844725,1.46350629157593,1.39444802211047,0.765463917525773,0.629175466052435
"101219","COM","Comoros",1960,94.828,95.647,190.475,1.7068,102.351,712.101562375327,0.0157500984381152,6.792,43.449,41.96,44.998,0.309594434965219,1.03941638119557,0.461433174253252,1.21873317782164,0.221177698102196
"101300","COM","Comoros",1961,96.478,97.276,193.754,1.6985,104.113,703.240413320118,0.0154835513073279,6.849,43.847,42.364,45.386,0.304355006864374,1.0264822381311,0.469376680636643,1.22896106226449,0.220174367315259
"101356","COM","Comoros",1962,98.151,98.922,197.073,1.7265,105.896,749.123624542938,0.0152227854652844,6.897,44.244,42.773,45.768,0.299229219629274,1.09345549572061,0.477417088592262,1.23757401758478,0.203207921450512
"101437","COM","Comoros",1963,99.883,100.622,200.505,1.8016,107.74,887.250862142266,0.0149622203935064,6.939,44.641,43.184,46.146,0.294107378868357,1.29507240127988,0.485731243489426,1.24511035349004,0.168635738007401
"101490","COM","Comoros",1964,101.725,102.425,204.15,1.9068,109.699,932.199649556857,0.014695077149155,6.975,45.037,43.593,46.528,0.288856233161891,1.36068173065385,0.494561399258703,1.25157006998026,0.157638732820171
"101561","COM","Comoros",1965,103.712,104.368,208.08,2.0459,111.811,912.902627429459,0.0192233756247597,7.004,45.44,43.998,46.926,0.377867486864027,1.33251490450534,0.504081978730105,1.25677373048627,0.210574217306052
"101579","COM","Comoros",1966,105.888,106.493,212.381,2.1764,114.122,983.780340969166,0.0235425956182521,7.027,45.858,44.4,47.36,0.462768954536109,1.43597129388484,0.514501320283922,1.26090077157725,0.239307441283684
"101678","COM","Comoros",1967,108.254,108.8,217.054,2.2455,116.633,999.097036386483,0.023035742257687,7.044,46.295,44.8,47.838,0.452805906978601,1.45832825104337,0.525821846459459,1.26395119325318,0.230565614937687
"101750","COM","Comoros",1968,110.746,111.237,221.983,2.2336,119.282,973.46322783913,0.0225242473522747,7.055,46.754,45.2,48.359,0.442751622121213,1.42091195830603,0.537762542697255,1.26592499551409,0.23138262142961
"101810","COM","Comoros",1969,113.276,113.721,226.997,2.1801,121.976,962.702875023401,0.0220267228201254,7.06,47.23,45.6,48.918,0.432971948234264,1.40520564957837,0.549909154776036,1.26682217835995,0.228800841792334
"101865","COM","Comoros",1970,115.792,116.208,232,2.0837,124.664,1008.82015297665,0.0344827586206897,7.061,47.717,46,49.5,0.677816091954023,1.47252056179519,0.562029118922454,1.26700161492912,0.3418127455022
"101909","COM","Comoros",1971,118.239,118.646,236.885,2.0408,127.289,1154.16392047641,0.0337716613546658,7.06,48.204,46.4,50.082,0.663838290028213,1.68467104822301,0.5738632234308,1.26682217835995,0.292607148391241
"101999","COM","Comoros",1972,120.677,121.092,241.769,2.1644,129.913,1031.87501348049,0.0330894366109799,7.058,48.68,46.8,50.641,0.650428025649828,1.50617250266994,0.58569490539984,1.2664633052216,0.320672912694825
"102060","COM","Comoros",1973,123.313,123.746,247.059,2.4955,132.756,889.207320011613,0.0323809292517172,7.055,49.139,47.2,51.162,0.636501132657921,1.29792813768879,0.598510138326994,1.26592499551409,0.364155001010274
"102085","COM","Comoros",1974,126.425,126.877,253.302,2.9413,136.111,1054.93106891321,0.0315828536687432,7.052,49.576,47.6,51.64,0.620813626948596,1.53982618771815,0.613634051212481,1.26538668580657,0.299383102834198
"102192","COM","Comoros",1975,130.2,130.663,260.863,3.4101,140.174,804.0619885247,0.0345008682718515,7.054,49.993,48,52.073,0.678172067330361,1.17364607315488,0.63195087090288,1.26574555894491,0.429082194709316
"102233","COM","Comoros",1976,134.723,135.189,269.912,3.7579,145.036,691.567743663247,0.0407540235335961,7.065,50.394,48.4,52.472,0.801088255925388,1.0094442695397,0.653872429080162,1.26771936120581,0.589299080343472
"102274","COM","Comoros",1977,139.893,140.355,280.248,3.9005,150.59,624.480659640378,0.039250949159316,7.084,50.786,48.8,52.854,0.771542823974956,0.911520858351813,0.678911795343879,1.2711286560201,0.628537466347151
"102393","COM","Comoros",1978,145.473,145.922,291.395,3.799,156.58,626.993736587247,0.0274541430017674,7.106,51.176,49.2,53.232,0.539656937604741,0.915189061714642,0.70591584098452,1.2750762605419,0.437869493740103
"102412","COM","Comoros",1979,151.125,151.553,302.678,3.5442,162.643,623.542970797286,0.0198230462735977,7.126,51.569,49.6,53.614,0.389655012918019,0.910152164340353,0.733249351970736,1.27866499192535,0.317909866712974
"102486","COM","Comoros",1980,156.6,156.998,313.598,3.2625,168.51,643.481368538433,0.0414543460098598,7.129,51.967,50.002,54.006,0.814854261400477,0.939255172003772,0.759703481188982,1.27920330163287,0.644219833497539
"102548","COM","Comoros",1981,161.82,162.178,323.998,3.0398,174.099,664.135821958153,0.0401237044673115,7.102,52.375,50.409,54.414,0.788698284145787,0.969403367659299,0.784897889968265,1.27435851426521,0.604149078256461
"102620","COM","Comoros",1982,166.845,167.153,333.998,2.8657,179.472,674.463521840742,0.0389223887568189,7.033,52.79,50.821,54.832,0.765084421663204,0.984478156151866,0.809123283025267,1.26197739099228,0.57708663992075
"102690","COM","Comoros",1983,171.729,171.979,343.708,2.7652,184.69,683.020193846309,0.0378228030770305,6.921,53.209,51.236,55.254,0.743470232484163,0.996967870430033,0.832646139683616,1.24188049524493,0.553758196577439
"102725","COM","Comoros",1984,176.577,176.768,353.345,2.7145,189.868,687.180581073328,0.0367912380251595,6.766,53.625,51.648,55.672,0.723193102114553,1.00304056407988,0.85599215097265,1.21406782702315,0.535394029436836
"102812","COM","Comoros",1985,181.468,181.6,363.068,2.6707,195.093,690.314565503353,0.0413145746802252,6.576,54.029,52.051,56.077,0.812106822964293,1.00761507272737,0.879546500641973,1.17997487888032,0.598489105471794
"102911","COM","Comoros",1986,186.41,186.485,372.895,2.614,200.373,690.294854868331,0.0375440807734081,6.362,54.41,52.436,56.454,0.737991481069291,1.00758630217271,0.903352794399089,1.14157545307734,0.543884696642703
"102939","COM","Comoros",1987,191.377,191.394,382.771,2.5622,205.68,700.539956826891,0.0418004498773418,6.141,54.761,52.796,56.794,0.821657509755615,1.02254052691451,0.927277792582185,1.10191997129015,0.596689017806747
"103035","COM","Comoros",1988,196.374,196.331,392.705,2.5151,211.018,712.031727965344,0.0432894921123999,5.928,55.078,53.129,57.094,0.850927116622741,1.03931444766033,0.951343298045011,1.06369998205634,0.60797139245608
"103095","COM","Comoros",1989,201.408,201.299,402.707,2.473,216.393,693.981344999479,0.0422143146257701,5.735,55.362,53.434,57.354,0.829792711160554,1.01296727369965,0.975573536180624,1.02906872420599,0.608291778013166
"103140","COM","Comoros",1990,206.487,206.303,412.79,2.436,221.811,685.097498229,0.0508733254197049,5.573,55.615,53.716,57.577,1,1,1,1,0.742570591064983
"103189","COM","Comoros",1991,211.619,211.35,422.969,2.4099,227.28,629.902499235621,0.049649028652218,5.447,55.846,53.979,57.772,0.975934406540432,0.919434826231216,1.02465902759272,0.977390992284227,0.788201804445394
"103249","COM","Comoros",1992,216.825,216.461,433.286,2.4021,232.824,663.911864033881,0.048466832530938,5.355,56.065,54.233,57.954,0.952696371449805,0.969076468313074,1.04965236560963,0.96088282792033,0.730019075671535
"103303","COM","Comoros",1993,222.145,221.675,443.82,2.4142,238.485,663.996607996992,0.0473164796539138,5.293,56.282,54.486,58.132,0.930084268397098,0.969200164521759,1.07517139465588,0.949757760631617,0.712601225428671
"103385","COM","Comoros",1994,227.628,227.037,454.665,2.4399,244.312,610.349607492716,0.0461878525947676,5.257,56.503,54.742,58.314,0.907899222504481,0.890894520955763,1.1014438334262,0.943298044141396,0.756744200827863
"103486","COM","Comoros",1995,233.311,232.584,465.895,2.4704,250.347,643.852815246435,0.0472209403406347,5.246,56.729,55.002,58.503,0.928206283962409,0.93979735280134,1.12864894982921,0.941324241880495,0.733412034900568
"103508","COM","Comoros",1996,239.213,238.335,477.548,2.4979,256.608,616.808018504241,0.0376925460896077,5.253,56.961,55.268,58.7,0.740909814301389,0.900321516424611,1.15687880035854,0.942580297864705,0.611090403477766
"103600","COM","Comoros",1997,245.337,244.29,489.627,2.5211,263.099,624.855620481631,0.0367626785287576,5.27,57.196,55.535,58.9,0.722631717613612,0.912068168540834,1.18614065263209,0.945630719540642,0.588338766968622
"103657","COM","Comoros",1998,251.68,250.448,502.128,2.5366,269.816,611.643263199464,0.03983048147086,5.289,57.431,55.803,59.1,0.782934497445539,0.892782800667908,1.21642481649265,0.949040014354925,0.651204449837468
"103683","COM","Comoros",1999,258.23,256.798,515.028,2.5466,276.748,605.778773155448,0.0427161241718897,5.306,57.666,56.069,59.3,0.839656614138778,0.884222719717131,1.24767557353618,0.952090436030863,0.705143957907029
"103802","COM","Comoros",2000,264.98,263.332,528.312,2.5535,283.886,580.685969866546,0.0435348809037084,5.315,57.9,56.337,59.499,0.855750642297228,0.847596103281123,1.2798565856731,0.953705365153418,0.749714702315154
"103844","COM","Comoros",2001,271.927,270.049,541.976,2.5597,291.228,576.738976992474,0.0442824036488701,5.313,58.135,56.606,59.697,0.870444447724622,0.841834889900144,1.31295816274619,0.953346492015073,0.767806675383549
"103881","COM","Comoros",2002,279.075,276.953,556.028,2.5679,298.779,572.665007239657,0.0449617645154561,5.303,58.37,56.877,59.894,0.883798417825481,0.835888335193189,1.34699968506989,0.951552126323345,0.785132039622596
"103979","COM","Comoros",2003,286.436,284.055,570.491,2.5779,306.551,570.055205346202,0.0473276528464077,5.283,58.605,57.149,60.089,0.930303896117555,0.832078947623972,1.38203687104823,0.947963394939889,0.830229290120508
"104036","COM","Comoros",2004,294.024,291.365,585.389,2.5874,314.556,576.457240977524,0.0478314419983977,5.254,58.84,57.42,60.286,0.940206711548503,0.841423654980037,1.41812786162455,0.942759734433878,0.829748307390289
